RA,DE,Internal_ID,main_id,otype,otypes,ra_simbad,dec_simbad,multiple_counterpars,sep2simbad,massive_star,ms_contaminant,giant_label,giant_prob,extragalactic_label,extragalactic_prob,alpha_2_24,intercept_2_24,class_2_24,EW_Li,e_EW_Li,f_EW_Li,li_ref,EW_Li_,e_EW_Li_,f_EW_Li_,li_ref_,Ha_ID,HaRA,HaDE,HaID,Ha_ref,EW_Ha,e_EW_Ha,f_EW_Ha,_EW_Ha,_e_EW_Ha,_f_EW_Ha,e_up_EW_Ha,e_low_EW_Ha,Ha_line_flag,Ha_comment,W10_Ha,e_W10_Ha,e_up_W10_Ha,e_low_W10_Ha,f_W10_Ha,W10_HA_comment,EW_Ha_PHOT,e_EW_Ha_PHOT,Ha_sep,s_sep,s_ref,veiling_ropt,e_veiling_ropt,f_veiling_ropt,comment_veiling_ropt,veiling_rk,e_veiling_rk,f_veiling_rk,comment_veiling_rk,E_rk_1_CG2010,e_low_veiling_rk,veiling_rh,e_veiling_rh,f_veiling_rh,comment_veiling_rh,veiling_r7465,e_veiling_r7465,f_veiling_r7465,comment_veiling_r7465
85.376722,-1.63401,5231,Haro 5-47,Or*,*|Em*|IR|MIR|NIR|Or*|V*|Y*O,85.37672194,-1.634000739,,0.033338998,false,false,false,,false,,-0.710288622,-9.667699683,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,2.18,0.25,,,,,,
85.388767,-1.803029,5232,2MASS J05413329-0148108,Y*O,*|NIR|Rad|X|Y*O,85.38866531,-1.802997572,,0.38298869,false,false,false,,false,,-1.011007785,-9.357034748,II,,,,,,,,,21691,,,,2023A%26A...674A..26C,-2.0220187,0.57675153,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.101,0.0333,,,,,,
85.395916,-1.648591,5233,Haro 5-62,Y*O,*|Em*|NIR|Y*?|Y*O|ev,85.39591054,-1.648592377,,0.020280407,false,false,false,0.0,false,,-0.853705552,-10.19986366,II,,,,,,,,,16210,,,,2012RAA....12..723Z,-22.494501,-0.041769,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.443,0.0484,,,,,,
85.402979,-1.793937,5234,2MASS J05413671-0147381,Y*O,*|NIR|Pe*|X|Y*O,85.40298023,-1.793956483,,0.070276219,false,false,false,,false,,-1.062347176,-9.666298707,II,,,,,,,,,21693,,,,2023A%26A...674A..26C,-10.861415,0.2427021,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,1.08,0.0442,,,,,,
85.406098,-1.831546,5235,2MASS J05413744-0149532,Y*O,*|NIR|X|Y*O,85.40603769,-1.83148737,,0.302724572,false,false,false,,false,,0.187031025,-9.671988454,flat,,,,,,,,,21694,,,,2023A%26A...674A..26C,-21.509364,0.33821207,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,1.01,0.0582,,,,,,
85.413285,-1.903959,5236,[BCB89] IRS 13,Y*O,*|IR|NIR|X|Y*O,85.413305,-1.903909,,0.193851174,false,false,false,,false,,-0.207672926,-9.643738636,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.404,0.0403,,,,,,
85.415539,-2.040083,5238,2MASS J05413972-0202242,Y*O,*|NIR|X|Y*?|Y*O|ev,85.41555048,-2.040106125,,0.092928591,false,false,false,0.0,false,0.2,-1.069703299,-9.885943689,II,,,,,,,,,16211,,,,2012RAA....12..723Z,-44.92745,-1.024062,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.47,0.0331,,,,,,
85.424425,-1.98028,5240,2MASS J05414186-0158489,Y*O,*|NIR|Y*O,85.42444058,-1.980309627,,0.120491274,false,true,false,,false,,-0.393773668,-10.72837527,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.433237,-1.983072,5242,2MASS J05414395-0158595,Y*O,*|NIR|Y*O,85.43319052,-1.983254299,,0.677245412,false,false,false,,false,,-0.806908241,-10.63097878,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.433271,-1.979355,5243,2MASS J05414398-0158454,Y*O,*|NIR|X|Y*O,85.43329113,-1.979334962,,0.102230092,false,false,false,,false,,-0.525755832,-10.52115499,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,1.38,0.247,,,,,,
85.43737,-2.046783,5244,2MASS J05414496-0202483,Y*O,*|NIR|X|Y*O,85.43736753,-2.04680741,,0.088325771,false,false,false,0.0,false,0.36,-1.179990191,-10.58080772,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.44144,-1.940696,5245,[BCB89] IRS 23,Y*O,IR|NIR|X|Y*O,85.44141667,-1.940666667,,0.134904663,false,false,false,,false,,0.429889985,-10.15552223,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.443407,-1.836433,5246,2MASS J05414641-0150111,Y*O,*|NIR|X|Y*O,85.44341167,-1.836483517,,0.182637321,false,false,false,,false,,-0.493172315,-10.20536557,II,,,,,,,,,21698,,,,2023A%26A...674A..26C,-23.732104,0.3922046,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.96,0.059,,,,,,
85.44543,-1.832625,5248,EM* LkHA  289,Y*O,*|Em*|NIR|X|Y*?|Y*O,85.44545788,-1.832635831,,0.107615855,false,false,false,0.03,false,,-0.684839849,-9.440030189,II,0.44,,,2017ApJ...844..138K,[0.44],[nan],[nan],['2017ApJ...844..138K'],11144,,,,2017ApJ...844..138K,,,,-8.65,,,,,,,382,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.538,0.0347,,,,,,
85.445955,-1.824087,5249,2MASS J05414702-0149265,Y*O,*|NIR|X|Y*O,85.44595846,-1.824082972,,0.01910716,false,false,false,0.0,false,,-1.495423189,-9.897013831,II,,,,,,,,,21701,,,,2023A%26A...674A..26C,-3.219971,0.35182694,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.441,0.0335,,,,,,
85.446474,-2.005271,5250,2MASS J05414714-0200190,SB*,*|NIR|Pe*|SB*|X|Y*O,85.44648906,-2.005282975,,0.069240918,false,false,false,0.0,false,,-0.936145967,-10.36098701,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.62,0.127,,,,,,
85.44686,-1.972282,5251,2MASS J05414723-0158202,Y*O,*|NIR|X|Y*O,85.44679167,-1.972305556,,0.260067992,false,false,false,,false,,-0.253050919,-10.54328163,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.449199,-1.984295,5252,2MASS J05414780-0159036,Y*O,*|IR|NIR|Y*O,85.4492237,-1.984326056,,0.142823258,false,false,false,,false,,0.243158247,-9.859679756,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.981,0.367,,,,,,
85.457747,-1.996484,5253,2MASS J05414984-0159475,Y*O,*|NIR|X|Y*O,85.4577606,-1.996560562,,0.279933102,false,false,false,,false,,0.274734963,-11.72488828,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.45895,-1.962447,5254,[BCB89] IRS 28,Y*O,*|IR|NIR|X|Y*O|cor|smm,85.45897525,-1.962486892,,0.169941612,false,false,false,,false,,-0.516276109,-10.12938431,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,1.19,0.748,,,,,,
85.466029,-1.6085,5255,Haro 5-51,Y*O,*|Em*|NIR|Y*?|Y*O|ev,85.46603293,-1.608504601,,0.021785212,false,false,false,0.0,false,,-1.264870928,-10.43033286,II,,,,,,,,,16214,,,,2012RAA....12..723Z,-48.841457,-1.305793,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.775,0.0717,,,,,,
