RAJ2000,DEJ2000,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad
84.080666,-6.4308333,889,13.17,0.02,12.36,0.03,11.8,0.02,10.95,0.01,10.55,0.01,10.14,0.01,9.31,0.01,6.38,0.02,0.0,-0.97,"D ",2M,Simbad
84.116165,-6.426722,890,12.93,0.03,12.31,0.03,12.04,0.02,11.76,0.01,11.66,0.01,11.5,0.01,10.95,0.02,6.73,0.02,0.0,-1.91,"D ",2M,Simbad
84.08483,-6.421861,891,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.01,13.96,0.02,13.5,0.06,13.62,0.19,0.0,0.0,0.0,-1.74,"D ",2M,Simbad
83.666084,-6.420611,892,14.74,0.04,13.93,0.04,13.08,0.03,11.26,0.01,10.59,0.01,9.77,0.01,8.23,0.01,5.11,0.02,0.0,0.65,"P ",2M,Simbad
83.8,-6.419361,893,15.55,0.06,14.95,0.08,14.62,0.09,14.18,0.01,13.95,0.01,13.74,0.07,13.16,0.11,0.0,0.0,0.0,-1.68,"D ",2M,Simbad
84.00454,-6.41875,894,12.98,0.02,12.28,0.03,12.1,0.02,11.79,0.01,11.59,0.01,11.33,0.01,10.75,0.01,8.2,0.05,0.09,-1.64,"D ",2M,Simbad
84.1085,-6.4181113,895,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.05,12.43,0.02,11.56,0.02,0.0,0.0,4.25,0.01,0.0,0.0,"P ",2M,Simbad
84.105415,-6.417389,896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69,0.03,10.47,0.02,5.4,0.02,0.0,0.0,"P ",2M,Simbad
84.10775,-6.4163055,897,16.44,0.13,12.95,0.05,10.84,0.03,8.83,0.01,8.09,0.01,7.39,0.01,6.33,0.01,2.6,0.01,2.25,0.02,"P ",2M,Simbad
84.048584,-6.416222,898,14.75,0.03,14.04,0.04,13.83,0.04,13.33,0.01,13.07,0.01,12.85,0.03,11.84,0.03,7.39,0.04,0.08,-1.17,"D ",2M,Simbad
84.10025,-6.41525,899,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.01,11.08,0.01,10.06,0.01,9.22,0.01,4.76,0.02,0.0,0.68,"P ",2M,Simbad
84.108795,-6.414361,900,14.79,0.04,14.13,0.06,13.81,0.07,13.23,0.02,12.94,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"D ",2M,Simbad
84.09825,-6.4143333,901,0.0,0.0,0.0,0.0,13.27,0.09,9.34,0.01,8.09,0.01,6.94,0.01,6.2,0.01,3.29,0.01,0.0,0.78,"P ",2M,Simbad
83.824165,-6.4106665,902,11.31,0.03,10.52,0.03,10.22,0.02,9.31,0.01,8.74,0.01,8.0,0.01,6.98,0.01,4.93,0.01,0.12,-0.13,"D ",2M,Simbad
84.08117,-6.4105277,903,0.0,0.0,14.91,0.07,13.47,0.03,12.12,0.01,11.49,0.01,11.07,0.01,10.3,0.01,7.06,0.03,1.12,-0.79,"D ",2M,Simbad
